GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0008150	BP	e	biological_process            	113/229	44718/269428	2.73e-30	0	113	1.75e-26	1.71e-26	1.75e-26	1.75e-26	TraesCS1A02G030000, TraesCS1A02G030400, TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G277100, TraesCS1A02G300200, TraesCS1A02G326100, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G308500, TraesCS1B02G310300, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS1B02G436700, TraesCS1D02G042100, TraesCS1D02G096300, TraesCS1D02G200000, TraesCS1D02G312800, TraesCS2A02G009300, TraesCS2A02G031600, TraesCS2A02G094500, TraesCS2A02G199300, TraesCS2A02G247300, TraesCS2A02G324500, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G013000, TraesCS2B02G109700, TraesCS2B02G623400, TraesCS2D02G009100, TraesCS2D02G010200, TraesCS2D02G027600, TraesCS2D02G079600, TraesCS2D02G139100, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G021900, TraesCS3A02G204000, TraesCS3A02G386400, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G091400, TraesCS3B02G530000, TraesCS3B02G574300, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS3D02G150500, TraesCS4A02G020900, TraesCS4A02G287900, TraesCS4A02G301600, TraesCS4A02G315700, TraesCS4A02G442500, TraesCS4A02G495800, TraesCS4B02G050200, TraesCS4B02G262900, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS4D02G259000, TraesCS4D02G366200, TraesCS5A02G030900, TraesCS5A02G100600, TraesCS5A02G166100, TraesCS5A02G332300, TraesCS5A02G362400, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G007100, TraesCS5B02G102000, TraesCS5B02G232400, TraesCS5B02G366900, TraesCS5B02G516600, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS5D02G170700, TraesCS5D02G338200, TraesCS5D02G452000, TraesCS6A02G009200, TraesCS6A02G015400, TraesCS6A02G015500, TraesCS6A02G047500, TraesCS6A02G063200, TraesCS6B02G022400, TraesCS6B02G045100, TraesCS6B02G063400, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G197100, TraesCS6B02G278200, TraesCS6B02G342400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G060200, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G108600, TraesCS7A02G206400, TraesCS7A02G523000, TraesCS7B02G047500, TraesCS7B02G190700, TraesCS7D02G032700, TraesCS7D02G130800, TraesCS7D02G155400, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G039800, TraesCSU02G115400, TraesCSU02G207500
GO:0008152	BP	e	metabolic process             	85/229	31891/269428	5.81e-23	1	85	3.73e-19	3.64e-19	3.73e-19	9.33e-20	TraesCS1A02G030400, TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G326100, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS1B02G436700, TraesCS1D02G042100, TraesCS1D02G096300, TraesCS1D02G200000, TraesCS1D02G312800, TraesCS2A02G009300, TraesCS2A02G094500, TraesCS2A02G247300, TraesCS2A02G324500, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G109700, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G027600, TraesCS2D02G139100, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G021900, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G091400, TraesCS3B02G530000, TraesCS3B02G574300, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS3D02G150500, TraesCS4A02G020900, TraesCS4A02G301600, TraesCS4A02G315700, TraesCS4A02G442500, TraesCS4B02G050200, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS4D02G259000, TraesCS4D02G366200, TraesCS5A02G362400, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G007100, TraesCS5B02G102000, TraesCS5B02G366900, TraesCS5B02G516600, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6A02G009200, TraesCS6A02G015400, TraesCS6A02G015500, TraesCS6A02G047500, TraesCS6A02G063200, TraesCS6B02G022400, TraesCS6B02G063400, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G197100, TraesCS6B02G278200, TraesCS6B02G342400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G108600, TraesCS7A02G523000, TraesCS7B02G047500, TraesCS7B02G190700, TraesCS7D02G032700, TraesCS7D02G155400, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G115400
GO:0009987	BP	e	cellular process              	63/229	25125/269428	2.66e-15	1	63	1.71e-11	1.67e-11	1.71e-11	1.9e-12	TraesCS1A02G030000, TraesCS1A02G152600, TraesCS1A02G300200, TraesCS1A02G326100, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G310300, TraesCS1B02G436700, TraesCS1D02G042100, TraesCS1D02G096300, TraesCS1D02G200000, TraesCS2A02G009300, TraesCS2A02G031600, TraesCS2A02G199300, TraesCS2A02G247300, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G079600, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G386400, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G574300, TraesCS3D02G004600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS4A02G315700, TraesCS4A02G495800, TraesCS4B02G050200, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS4D02G259000, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G102000, TraesCS5B02G232400, TraesCS5B02G366900, TraesCS5B02G516600, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS5D02G452000, TraesCS6A02G047500, TraesCS6A02G063200, TraesCS6B02G063400, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G197100, TraesCS6B02G342400, TraesCS6B02G404500, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G108600, TraesCS7A02G523000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCSU02G115400
GO:0071704	BP	e	organic substance metabolic process	56/229	23181/269428	6.66e-13	2	56	4.28e-09	4.17e-09	4.27e-09	2.85e-10	TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS1B02G436700, TraesCS1D02G042100, TraesCS1D02G312800, TraesCS2A02G009300, TraesCS2A02G094500, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G109700, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G530000, TraesCS3B02G574300, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS3D02G150500, TraesCS4A02G020900, TraesCS4A02G315700, TraesCS4B02G050200, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G102000, TraesCS5B02G366900, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6A02G063200, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G278200, TraesCS6B02G342400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G523000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G115400
GO:0044237	BP	e	cellular metabolic process    	51/229	21154/269428	1e-11	2	51	6.43e-08	6.26e-08	6.41e-08	3.78e-09	TraesCS1A02G152600, TraesCS1A02G326100, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G436700, TraesCS1D02G042100, TraesCS1D02G096300, TraesCS1D02G200000, TraesCS2A02G009300, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G574300, TraesCS3D02G004600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS4A02G315700, TraesCS4B02G050200, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS4D02G259000, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G102000, TraesCS5B02G366900, TraesCS5B02G516600, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6A02G047500, TraesCS6A02G063200, TraesCS6B02G063400, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G342400, TraesCS6B02G404500, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G108600, TraesCS7A02G523000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCSU02G115400
GO:0044238	BP	e	primary metabolic process     	52/229	22088/269428	1.43e-11	2	52	9.18e-08	8.95e-08	9.16e-08	5.1e-09	TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS1B02G436700, TraesCS1D02G042100, TraesCS1D02G312800, TraesCS2A02G009300, TraesCS2A02G094500, TraesCS2A02G467900, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G109700, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G530000, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS3D02G150500, TraesCS4A02G315700, TraesCS4B02G050200, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G102000, TraesCS5B02G366900, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G278200, TraesCS6B02G342400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G523000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G115400
GO:0006807	BP	e	nitrogen compound metabolic process	45/229	18840/269428	2.89e-10	2	45	1.86e-06	1.81e-06	1.85e-06	8.45e-08	TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G436700, TraesCS2A02G009300, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G574300, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS4A02G020900, TraesCS4A02G315700, TraesCS4B02G050200, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G366900, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G278200, TraesCS6B02G342400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G523000, TraesCS7D02G032700, TraesCS7D02G548400, TraesCSU02G115400
GO:1901564	BP	e	organonitrogen compound metabolic process	34/229	13885/269428	3.32e-08	3	34	0.000213	0.000208	0.000212	7.9e-06	TraesCS1A02G086100, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G436700, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3B02G574300, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS4A02G020900, TraesCS4B02G050200, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G366900, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6B02G189300, TraesCS6B02G278200, TraesCS6B02G342400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS7A02G523000, TraesCS7D02G548400, TraesCSU02G115400
GO:0043170	BP	e	macromolecule metabolic process	38/229	17252/269428	7.3e-08	3	38	0.000469	0.000457	0.000467	1.62e-05	TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G436700, TraesCS2A02G009300, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS4A02G315700, TraesCS4B02G050200, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G366900, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6B02G189300, TraesCS6B02G278200, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G523000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G115400
GO:0034641	BP	e	cellular nitrogen compound metabolic process	23/229	8018/269428	4.8e-07	3	23	0.00308	0.00301	0.00307	9.95e-05	TraesCS1A02G152600, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G436700, TraesCS2A02G009300, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS5B02G531900, TraesCS6B02G113200, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7D02G032700, TraesCSU02G115400
