GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0005975	BP	e	carbohydrate metabolic process	12/115	2557/269428	1.31e-09	3	12	8.39e-06	8.17e-06	8.36e-06	4.66e-07	TraesCS1A02G422900, TraesCS1B02G454200, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS1D02G430700, TraesCS2A02G033600, TraesCS3A02G481600, TraesCS3D02G260300, TraesCS3D02G478000, TraesCS4B02G356800, TraesCS6A02G286900, TraesCS7A02G427100
GO:1901564	BP	e	organonitrogen compound metabolic process	24/115	13885/269428	4.28e-09	3	24	2.75e-05	2.68e-05	2.74e-05	1.19e-06	TraesCS1B02G315700, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS2D02G572600, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS4A02G420600, TraesCS4A02G422100, TraesCS4B02G379500, TraesCS5B02G428400, TraesCS6A02G004500, TraesCS6A02G222800, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G510200, TraesCS7B02G136600, TraesCS7D02G036700
GO:0017144	BP	e	drug metabolic process        	9/115	1419/269428	1.3e-08	3	9	8.34e-05	8.13e-05	8.3e-05	3.21e-06	TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2B02G308500, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS3D02G260300, TraesCS4B02G379500, TraesCS6A02G222800, TraesCS6B02G063900
GO:0051186	BP	e	cofactor metabolic process    	8/115	1141/269428	4e-08	3	8	0.000257	0.000251	0.000256	8.87e-06	TraesCS2A02G493600, TraesCS2B02G521600, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS4A02G420600, TraesCS4B02G379500, TraesCS6B02G063900, TraesCS7A02G442500
GO:1901575	BP	e	organic substance catabolic process	9/115	1785/269428	9.04e-08	3	9	0.000581	0.000566	0.000578	1.94e-05	TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS3D02G260300, TraesCS4B02G043300, TraesCS6A02G222800
GO:0044248	BP	e	cellular catabolic process    	9/115	2044/269428	2.8e-07	3	9	0.0018	0.00175	0.00179	5.62e-05	TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS3D02G260300, TraesCS6A02G222800, TraesCS6B02G063900
GO:1901135	BP	e	carbohydrate derivative metabolic process	7/115	999/269428	2.92e-07	3	7	0.00188	0.00183	0.00187	5.69e-05	TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS3D02G260300, TraesCS3D02G491400
GO:0006082	BP	e	organic acid metabolic process	8/115	1927/269428	2.03e-06	3	8	0.013	0.0127	0.013	0.000318	TraesCS1D02G123700, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS6A02G222800, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7B02G136600
GO:0006725	BP	e	cellular aromatic compound metabolic process	13/115	6796/269428	7.36e-06	3	13	0.0473	0.0461	0.0468	0.000775	TraesCS1D02G123700, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS3A02G056000, TraesCS3A02G517100, TraesCS4A02G420600, TraesCS4A02G437100, TraesCS4B02G379500, TraesCS6A02G173700, TraesCS6A02G222800, TraesCS6B02G281000, TraesCS7A02G392800
GO:1901360	BP	e	organic cyclic compound metabolic process	13/115	6937/269428	9.14e-06	3	13	0.0587	0.0573	0.0582	0.000904	TraesCS1D02G123700, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS3A02G056000, TraesCS3A02G517100, TraesCS4A02G420600, TraesCS4A02G437100, TraesCS4B02G379500, TraesCS6A02G173700, TraesCS6A02G222800, TraesCS6B02G281000, TraesCS7A02G392800
