##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metabolic pathways	KEGG PATHWAY	osa01100	161	1573	3.30229320334e-33	3.13717854317e-31	4333895|4334020|4341833|4349782|4334640|4351966|4333259|4332745|4342420|4349114|4329766|4350176|4331897|4342137|4333862|4335962|4339546|4324401|4334537|4346747|4329889|4336028|4336983|4343582|4343583|4328147|4343581|4336023|4336245|4347962|4347963|4346332|4325531|4347800|4334841|4349290|4340093|4331761|4332925|4332843|4333932|4326948|4328439|4339815|4333359|4332771|4328018|4344539|4341935|4337051|4344166|4347691|4341997|4335862|4342192|4343570|4342210|4339242|4324245|4339017|4349122|4344059|4345685|4349897|4328000|4330149|4332364|4324151|4326815|4333815|4333103|4334316|4331495|4343366|4349430|4349433|4338981|4352846|4341496|4335227|4331418|4328006|4332497|4336753|4339885|4330407|4326537|4342543|4339874|4337178|4326769|4334583|4352223|4342370|4327859|4346885|4352021|4338045|4352505|4327918|4344277|4336044|4326136|4324810|4333967|4347099|4344192|4324933|4334274|4334764|4327981|4330413|4341770|4330711|4344058|4352747|4348304|4344899|4348636|4343946|4336388|4337714|4337272|4324479|4334048|4344470|4351698|4325211|4326312|4331468|4326980|4342251|4339281|4336306|4324196|4329690|4335430|4352791|4345996|4341824|4328841|4339844|4327189|4334427|4325651|4349049|4352016|4352014|4325067|4343721|4332152|4349966|4334290|4332681|4344636|4345962|4348816|4343604|4346656|4330975|4347547	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4336245%09red/osa:4334048%09red/osa:4324479%09red/osa:4347963%09red/osa:4347962%09red/osa:4344058%09red/osa:4334764%09red/osa:4346656%09red/osa:4332681%09red/osa:4326980%09red/osa:4347547%09red/osa:4349430%09red/osa:4349433%09red/osa:4352016%09red/osa:4352014%09red/osa:4352505%09red/osa:4337714%09red/osa:4339844%09red/osa:4352791%09red/osa:4336306%09red/osa:4344899%09red/osa:4324151%09red/osa:4347099%09red/osa:4343570%09red/osa:4334274%09red/osa:4343366%09red/osa:4328439%09red/osa:4328006%09red/osa:4328000%09red/osa:4344059%09red/osa:4351698%09red/osa:4339017%09red/osa:4338981%09red/osa:4329766%09red/osa:4344192%09red/osa:4326769%09red/osa:4329889%09red/osa:4347800%09red/osa:4337272%09red/osa:4341496%09red/osa:4345996%09red/osa:4349049%09red/osa:4328018%09red/osa:4336023%09red/osa:4349290%09red/osa:4342251%09red/osa:4333815%09red/osa:4344470%09red/osa:4326312%09red/osa:4343946%09red/osa:4339546%09red/osa:4333895%09red/osa:4334537%09red/osa:4326136%09red/osa:4332152%09red/osa:4332364%09red/osa:4325211%09red/osa:4325067%09red/osa:4326815%09red/osa:4342192%09red/osa:4337051%09red/osa:4342370%09red/osa:4352747%09red/osa:4341770%09red/osa:4352021%09red/osa:4324196%09red/osa:4344166%09red/osa:4342543%09red/osa:4335227%09red/osa:4339281%09red/osa:4345962%09red/osa:4339874%09red/osa:4345685%09red/osa:4334316%09red/osa:4333862%09red/osa:4349114%09red/osa:4325651%09red/osa:4332497%09red/osa:4331468%09red/osa:4352223%09red/osa:4343583%09red/osa:4343582%09red/osa:4343581%09red/osa:4343721%09red/osa:4326537%09red/osa:4335430%09red/osa:4341935%09red/osa:4339885%09red/osa:4336983%09red/osa:4330975%09red/osa:4341824%09red/osa:4327918%09red/osa:4329690%09red/osa:4340093%09red/osa:4336753%09red/osa:4333967%09red/osa:4349966%09red/osa:4341833%09red/osa:4335962%09red/osa:4324933%09red/osa:4331761%09red/osa:4350176%09red/osa:4327189%09red/osa:4334583%09red/osa:4330413%09red/osa:4334427%09red/osa:4348304%09red/osa:4346747%09red/osa:4332771%09red/osa:4331495%09red/osa:4342137%09red/osa:4339815%09red/osa:4330149%09red/osa:4347691%09red/osa:4328147%09red/osa:4349782%09red/osa:4349122%09red/osa:4343604%09red/osa:4351966%09red/osa:4337178%09red/osa:4333359%09red/osa:4330711%09red/osa:4327981%09red/osa:4334841%09red/osa:4349897%09red/osa:4334020%09red/osa:4346885%09red/osa:4330407%09red/osa:4324245%09red/osa:4325531%09red/osa:4334640%09red/osa:4332745%09red/osa:4341997%09red/osa:4342210%09red/osa:4331897%09red/osa:4346332%09red/osa:4348816%09red/osa:4333259%09red/osa:4331418%09red/osa:4336044%09red/osa:4328841%09red/osa:4338045%09red/osa:4336388%09red/osa:4333103%09red/osa:4336028%09red/osa:4324401%09red/osa:4344636%09red/osa:4327859%09red/osa:4334290%09red/osa:4344539%09red/osa:4344277%09red/osa:4324810%09red/osa:4339242%09red/osa:4332925%09red/osa:4352846%09red/osa:4332843%09red/osa:4335862%09red/osa:4348636%09red/osa:4342420%09red/osa:4326948%09red/osa:4333932%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	96	848	1.16909847256e-22	5.55321774466e-21	4333895|4334020|4349782|4333259|4342420|4349114|4331897|4342137|4333862|4324401|4349433|4346747|4329889|4334640|4328147|4336245|4347962|4347963|4349290|4331761|4341935|4334537|4332925|4332843|4333932|4326948|4339815|4332771|4335430|4334841|4337051|4347691|4342210|4339242|4339017|4349897|4330149|4332364|4344277|4334316|4349430|4328124|4352846|4341496|4324196|4331418|4324516|4328006|4336753|4340694|4339885|4330407|4342543|4324245|4352223|4327859|4352505|4327918|4333103|4326136|4324810|4334274|4327981|4334290|4341770|4332981|4330711|4352747|4348304|4348636|4343946|4336388|4334048|4344470|4351698|4331509|4325211|4331468|4326980|4342251|4339281|4336306|4352791|4345996|4328841|4327189|4325651|4343721|4332152|4349966|4341997|4344636|4345962|4346656|4332090|4347547	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4336245%09red/osa:4334048%09red/osa:4326948%09red/osa:4347963%09red/osa:4347962%09red/osa:4346656%09red/osa:4326980%09red/osa:4347547%09red/osa:4349430%09red/osa:4349433%09red/osa:4352505%09red/osa:4352791%09red/osa:4336306%09red/osa:4334640%09red/osa:4352846%09red/osa:4328006%09red/osa:4334274%09red/osa:4351698%09red/osa:4339017%09red/osa:4329889%09red/osa:4325651%09red/osa:4324516%09red/osa:4341496%09red/osa:4345996%09red/osa:4349290%09red/osa:4342251%09red/osa:4325211%09red/osa:4343946%09red/osa:4333895%09red/osa:4326136%09red/osa:4332152%09red/osa:4332364%09red/osa:4344470%09red/osa:4332090%09red/osa:4337051%09red/osa:4352747%09red/osa:4341770%09red/osa:4324196%09red/osa:4342543%09red/osa:4339281%09red/osa:4345962%09red/osa:4328147%09red/osa:4334316%09red/osa:4333862%09red/osa:4349114%09red/osa:4331509%09red/osa:4332981%09red/osa:4331468%09red/osa:4344277%09red/osa:4343721%09red/osa:4335430%09red/osa:4341935%09red/osa:4339885%09red/osa:4334537%09red/osa:4336753%09red/osa:4349966%09red/osa:4331761%09red/osa:4327189%09red/osa:4331418%09red/osa:4348304%09red/osa:4346747%09red/osa:4340694%09red/osa:4332771%09red/osa:4342137%09red/osa:4339815%09red/osa:4330149%09red/osa:4347691%09red/osa:4349782%09red/osa:4330711%09red/osa:4327981%09red/osa:4334841%09red/osa:4349897%09red/osa:4334020%09red/osa:4330407%09red/osa:4324245%09red/osa:4341997%09red/osa:4342210%09red/osa:4331897%09red/osa:4333259%09red/osa:4328841%09red/osa:4336388%09red/osa:4333103%09red/osa:4324401%09red/osa:4344636%09red/osa:4327859%09red/osa:4334290%09red/osa:4327918%09red/osa:4352223%09red/osa:4324810%09red/osa:4339242%09red/osa:4332925%09red/osa:4328124%09red/osa:4332843%09red/osa:4348636%09red/osa:4342420%09red/osa:4333932%09red
Carbon metabolism	KEGG PATHWAY	osa01200	41	235	8.00404387922e-16	2.53461389509e-14	4349782|4331761|4336245|4351966|4331509|4325211|4342420|4342543|4335430|4326312|4327189|4326769|4337051|4326980|4347691|4352021|4329690|4326136|4342210|4324401|4345685|4349897|4334274|4352016|4327981|4329889|4332364|4330413|4333103|4334316|4331495|4341770|4334290|4334048|4346332|4325531|4336044|4352014|4345962|4341496|4335227	http://www.genome.jp/kegg-bin/show_pathway?osa01200/osa:4336245%09red/osa:4327981%09red/osa:4335430%09red/osa:4341496%09red/osa:4332364%09red/osa:4334048%09red/osa:4342210%09red/osa:4326980%09red/osa:4329690%09red/osa:4352016%09red/osa:4352014%09red/osa:4346332%09red/osa:4326312%09red/osa:4336044%09red/osa:4331761%09red/osa:4326136%09red/osa:4333103%09red/osa:4327189%09red/osa:4325211%09red/osa:4330413%09red/osa:4342420%09red/osa:4324401%09red/osa:4337051%09red/osa:4334290%09red/osa:4341770%09red/osa:4352021%09red/osa:4325531%09red/osa:4331495%09red/osa:4342543%09red/osa:4335227%09red/osa:4334274%09red/osa:4345962%09red/osa:4345685%09red/osa:4347691%09red/osa:4349897%09red/osa:4349782%09red/osa:4334316%09red/osa:4331509%09red/osa:4326769%09red/osa:4329889%09red/osa:4351966%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	osa00630	22	63	3.60307151331e-14	8.55729484412e-13	4336245|4334048|4342420|4331509|4349114|4326312|4327189|4337051|4326980|4352021|4329690|4326136|4342210|4324401|4334274|4352016|4327981|4352014|4351966|4345962|4337272|4331294	http://www.genome.jp/kegg-bin/show_pathway?osa00630/osa:4336245%09red/osa:4327981%09red/osa:4331294%09red/osa:4337272%09red/osa:4334048%09red/osa:4342210%09red/osa:4326980%09red/osa:4329690%09red/osa:4352016%09red/osa:4352014%09red/osa:4326312%09red/osa:4326136%09red/osa:4327189%09red/osa:4324401%09red/osa:4337051%09red/osa:4352021%09red/osa:4334274%09red/osa:4345962%09red/osa:4349114%09red/osa:4331509%09red/osa:4342420%09red/osa:4351966%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	osa00710	23	73	5.76508581403e-14	1.09536630467e-12	4351966|4325211|4342543|4335430|4326769|4347691|4352021|4342210|4349897|4334274|4352016|4352014|4332364|4330413|4334316|4331495|4341770|4346332|4331761|4336044|4335227|4341496|4325531	http://www.genome.jp/kegg-bin/show_pathway?osa00710/osa:4335430%09red/osa:4341496%09red/osa:4325531%09red/osa:4342210%09red/osa:4352016%09red/osa:4352014%09red/osa:4346332%09red/osa:4336044%09red/osa:4331761%09red/osa:4332364%09red/osa:4325211%09red/osa:4330413%09red/osa:4341770%09red/osa:4352021%09red/osa:4331495%09red/osa:4342543%09red/osa:4335227%09red/osa:4334274%09red/osa:4347691%09red/osa:4349897%09red/osa:4334316%09red/osa:4326769%09red/osa:4351966%09red
Photosynthesis - antenna proteins	KEGG PATHWAY	osa00196	12	15	1.72223354368e-11	2.72686977749e-10	4345663|4350176|4333359|4343604|4330828|4340892|4336028|4343709|4343583|4347166|4346649|4328623	http://www.genome.jp/kegg-bin/show_pathway?osa00196/osa:4350176%09red/osa:4333359%09red/osa:4330828%09red/osa:4336028%09red/osa:4340892%09red/osa:4343709%09red/osa:4345663%09red/osa:4347166%09red/osa:4328623%09red/osa:4343604%09red/osa:4346649%09red/osa:4343583%09red
Photosynthesis	KEGG PATHWAY	osa00195	19	70	7.71067434217e-11	1.04644866072e-09	4332745|4324479|4335799|4343366|4344439|4348816|4342370|4324933|4333624|4328000|4339833|4333746|4343570|4342192|4329766|4344539|4344899|4326537|4339874	http://www.genome.jp/kegg-bin/show_pathway?osa00195/osa:4342192%09red/osa:4344439%09red/osa:4326537%09red/osa:4328000%09red/osa:4339874%09red/osa:4324479%09red/osa:4348816%09red/osa:4344899%09red/osa:4329766%09red/osa:4343570%09red/osa:4342370%09red/osa:4343366%09red/osa:4335799%09red/osa:4332745%09red/osa:4344539%09red/osa:4333746%09red/osa:4339833%09red/osa:4324933%09red/osa:4333624%09red
Pentose phosphate pathway	KEGG PATHWAY	osa00030	13	51	1.40819043824e-07	1.67222614542e-06	4333895|4341770|4334290|4345685|4349897|4331761|4329889|4341496|4342543|4332364|4334316|4333103|4335430	http://www.genome.jp/kegg-bin/show_pathway?osa00030/osa:4333103%09red/osa:4335430%09red/osa:4345685%09red/osa:4341496%09red/osa:4349897%09red/osa:4334316%09red/osa:4332364%09red/osa:4334290%09red/osa:4341770%09red/osa:4333895%09red/osa:4329889%09red/osa:4342543%09red/osa:4331761%09red
Glycine, serine and threonine metabolism	KEGG PATHWAY	osa00260	11	57	1.31323466937e-05	0.000138619215101	4334048|4324401|4349782|4337051|4326980|4345962|4325651|4327981|4327189|4342210|4349114	http://www.genome.jp/kegg-bin/show_pathway?osa00260/osa:4327981%09red/osa:4345962%09red/osa:4324401%09red/osa:4349782%09red/osa:4337051%09red/osa:4349114%09red/osa:4325651%09red/osa:4327189%09red/osa:4334048%09red/osa:4342210%09red/osa:4326980%09red
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	osa00860	9	37	1.64403873153e-05	0.000156183679495	4341997|4349430|4349433|4332843|4327918|4333259|4330711|4332771|4334537	http://www.genome.jp/kegg-bin/show_pathway?osa00860/osa:4330711%09red/osa:4349433%09red/osa:4349430%09red/osa:4332843%09red/osa:4341997%09red/osa:4332771%09red/osa:4327918%09red/osa:4333259%09red/osa:4334537%09red
