##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	109	848	8.04630762411e-25	5.86598082912e-23	4338409|4337904|4324554|4333898|4345717|4330090|4330034|4330036|4332519|4327493|4344386|4347875|4336415|4333399|4337100|4350881|4326503|4334968|4334641|4329318|4340725|4342614|4337102|4349587|4345338|4324176|4332134|4325537|4330612|4346438|4336431|4324941|4332925|4330012|4328812|4350816|4332373|4345993|4330747|4340240|4331779|4337055|4332286|4347691|4334912|4327472|4342988|4337482|4341861|4351300|4331861|4346520|4349897|4330380|4327239|4344277|4325145|4328552|4328124|4337048|4340986|4328957|4331150|4327964|9267882|4330077|4339188|4336750|4352223|4332184|4335091|4347172|4324826|4349318|4348242|4333554|4336538|4342896|4352747|4349097|4350456|4333976|4343946|9268154|4334116|4332434|4334200|4350054|4325562|4326980|4333171|4340042|4347717|4326153|4331941|4345994|4339846|4328841|4325651|4334183|4327178|4325444|4331515|4349966|4328997|4325563|4338861|4336645|4347547	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4349587%09red/osa:4341861%09red/osa:4327964%09red/osa:4326980%09red/osa:4347547%09red/osa:4334200%09red/osa:4330034%09red/osa:4330036%09red/osa:4332286%09red/osa:4348242%09red/osa:4339846%09red/osa:4326503%09red/osa:4336415%09red/osa:4331515%09red/osa:4336538%09red/osa:4325563%09red/osa:4325562%09red/osa:4326153%09red/osa:4333554%09red/osa:4328124%09red/osa:4347717%09red/osa:4332434%09red/osa:4327178%09red/osa:4336645%09red/osa:4329318%09red/osa:4327472%09red/osa:4325651%09red/osa:4328812%09red/osa:4337048%09red/osa:4330612%09red/osa:4345993%09red/osa:4328957%09red/osa:4345994%09red/osa:4335091%09red/osa:4345338%09red/osa:4343946%09red/osa:4332134%09red/osa:4328552%09red/osa:4333898%09red/osa:4324176%09red/osa:4330747%09red/osa:9267882%09red/osa:4331941%09red/osa:4347172%09red/osa:4337055%09red/osa:4331861%09red/osa:4342988%09red/osa:9268154%09red/osa:4352747%09red/osa:4333976%09red/osa:4327493%09red/osa:4338409%09red/osa:4352223%09red/osa:4340240%09red/osa:4332373%09red/osa:4334641%09red/osa:4331150%09red/osa:4327239%09red/osa:4337100%09red/osa:4337102%09red/osa:4340725%09red/osa:4336750%09red/osa:4337904%09red/osa:4324826%09red/osa:4349966%09red/osa:4330077%09red/osa:4336431%09red/osa:4330090%09red/osa:4333399%09red/osa:4325444%09red/osa:4338861%09red/osa:4346438%09red/osa:4344386%09red/osa:4347691%09red/osa:4330380%09red/osa:4333171%09red/osa:4334183%09red/osa:4349318%09red/osa:4349897%09red/osa:4346520%09red/osa:4324554%09red/osa:4332184%09red/osa:4342896%09red/osa:4325537%09red/osa:4351300%09red/osa:4345717%09red/osa:4350456%09red/osa:4331779%09red/osa:4340986%09red/osa:4330012%09red/osa:4349097%09red/osa:4339188%09red/osa:4328841%09red/osa:4350816%09red/osa:4342614%09red/osa:4340042%09red/osa:4337482%09red/osa:4350054%09red/osa:4325145%09red/osa:4334968%09red/osa:4332519%09red/osa:4347875%09red/osa:4334116%09red/osa:4350881%09red/osa:4344277%09red/osa:4328997%09red/osa:4332925%09red/osa:4334912%09red/osa:4324941%09red
Metabolic pathways	KEGG PATHWAY	osa01100	157	1573	1.15019231943e-24	5.86598082912e-23	4333896|4324793|4324962|4327282|4348512|4338409|4337904|4324554|4333898|4345717|4337982|4327472|4330034|4330036|4332519|4329920|4344386|4345220|4340386|4349764|4336415|4330753|4343697|4333399|4333926|4350881|4326503|4334968|4334641|4329318|4340725|4325632|4352706|4342614|4324001|4345338|4325531|4332134|4330612|4337714|4346438|4328266|4336538|4351707|4324176|4324941|4332925|4328812|4334554|4350816|4332373|4345993|4328018|4330747|4340240|4331779|4337055|4332286|4339844|4347691|4324637|4334912|4335862|4342988|4337482|4330380|4351300|4331861|4346520|4331188|4327493|4349897|4341861|4326818|4337230|4344670|4327239|4344277|4328552|4337048|4346699|4340986|4328957|4330832|4331150|4351483|4347875|9267882|4330077|4339188|4336750|4330570|4325740|4348816|4352223|4343249|4336515|4338750|4332184|4347172|4333967|4324826|4349318|4348242|4343959|4333554|4334764|4330657|4330090|4327558|4352741|4352747|4349097|4350456|4333976|4343946|4339675|4329853|9268154|4334116|4332434|4334200|4350054|4325562|4326980|4333171|4340042|4349587|4347717|4326153|4326459|4331941|4345994|4339846|4328841|4338007|4325651|4334183|4334104|4327178|4325444|4331515|4344928|4349966|4328997|4344972|4348791|4340439|4325563|4338861|4325416|4328618|4344584|4336645|4347547|4336648|4337676	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4349587%09red/osa:4330832%09red/osa:4341861%09red/osa:4334764%09red/osa:4345220%09red/osa:4325416%09red/osa:4343249%09red/osa:4326980%09red/osa:4347547%09red/osa:4334200%09red/osa:4327282%09red/osa:4330034%09red/osa:4328266%09red/osa:4337714%09red/osa:4332286%09red/osa:4332373%09red/osa:4339846%09red/osa:4339844%09red/osa:4333926%09red/osa:4326503%09red/osa:4336415%09red/osa:4331515%09red/osa:4336538%09red/osa:4325563%09red/osa:4325562%09red/osa:4347875%09red/osa:4333554%09red/osa:4333896%09red/osa:4347717%09red/osa:4332434%09red/osa:4327178%09red/osa:4324962%09red/osa:4329853%09red/osa:4336645%09red/osa:4329318%09red/osa:4336648%09red/osa:4348512%09red/osa:4325651%09red/osa:4328812%09red/osa:4337048%09red/osa:4330612%09red/osa:4349764%09red/osa:4334554%09red/osa:4328957%09red/osa:4345994%09red/osa:4328018%09red/osa:4337676%09red/osa:4344584%09red/osa:4331188%09red/osa:4343946%09red/osa:4332134%09red/osa:4338007%09red/osa:4328552%09red/osa:4333898%09red/osa:4324176%09red/osa:4330747%09red/osa:9267882%09red/osa:4336515%09red/osa:4331941%09red/osa:4326818%09red/osa:4337982%09red/osa:4347172%09red/osa:4337055%09red/osa:4343697%09red/osa:4331861%09red/osa:4342988%09red/osa:9268154%09red/osa:4344670%09red/osa:4352741%09red/osa:4327472%09red/osa:4352747%09red/osa:4330036%09red/osa:4333976%09red/osa:4331779%09red/osa:4333967%09red/osa:4338409%09red/osa:4352223%09red/osa:4340240%09red/osa:4330753%09red/osa:4330570%09red/osa:4348791%09red/osa:4348242%09red/osa:4334641%09red/osa:4331150%09red/osa:4327239%09red/osa:4346699%09red/osa:4351483%09red/osa:4340725%09red/osa:4336750%09red/osa:4337904%09red/osa:4324826%09red/osa:4349966%09red/osa:4325740%09red/osa:4349318%09red/osa:4327558%09red/osa:4345993%09red/osa:4338750%09red/osa:4330090%09red/osa:4333399%09red/osa:4325444%09red/osa:4338861%09red/osa:4327493%09red/osa:4346438%09red/osa:4344386%09red/osa:4329920%09red/osa:4347691%09red/osa:4330077%09red/osa:4330380%09red/osa:4333171%09red/osa:4325531%09red/osa:4340386%09red/osa:4334183%09red/osa:4344928%09red/osa:4337230%09red/osa:4325632%09red/osa:4324001%09red/osa:4349897%09red/osa:4339675%09red/osa:4346520%09red/osa:4324554%09red/osa:4332184%09red/osa:4351300%09red/osa:4345717%09red/osa:4350456%09red/osa:4334104%09red/osa:4340439%09red/osa:4344972%09red/osa:4340986%09red/osa:4348816%09red/osa:4324637%09red/osa:4349097%09red/osa:4351707%09red/osa:4339188%09red/osa:4328841%09red/osa:4350816%09red/osa:4342614%09red/osa:4340042%09red/osa:4337482%09red/osa:4350054%09red/osa:4345338%09red/osa:4324793%09red/osa:4334968%09red/osa:4332519%09red/osa:4326153%09red/osa:4334116%09red/osa:4352706%09red/osa:4350881%09red/osa:4326459%09red/osa:4344277%09red/osa:4328997%09red/osa:4332925%09red/osa:4343959%09red/osa:4335862%09red/osa:4334912%09red/osa:4324941%09red/osa:4330657%09red/osa:4328618%09red
Fatty acid degradation	KEGG PATHWAY	osa00071	19	41	3.90102157896e-13	1.32634733685e-11	4349966|4334764|4339846|4328997|4340725|4346520|4349764|4337904|4330612|4326503|4340986|4337714|4330090|4350881|4331150|4350054|4351483|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00071/osa:4340725%09red/osa:4340986%09red/osa:4350054%09red/osa:4330612%09red/osa:4337904%09red/osa:4349764%09red/osa:4330090%09red/osa:4347172%09red/osa:4339846%09red/osa:4346520%09red/osa:4331150%09red/osa:4334764%09red/osa:4351483%09red/osa:4328997%09red/osa:4349966%09red/osa:4336538%09red/osa:4337714%09red/osa:4326503%09red/osa:4350881%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	osa00940	24	125	2.10338938303e-09	5.36364292673e-08	4332925|4338409|4324554|4339188|4334116|4345717|4330034|4330036|4334200|4340240|4349587|4346438|4336415|4326376|4337482|4348242|4351300|4328841|4341861|4338861|4344277|4328552|4349097|4347547	http://www.genome.jp/kegg-bin/show_pathway?osa00940/osa:4348242%09red/osa:4349587%09red/osa:4324554%09red/osa:4351300%09red/osa:4345717%09red/osa:4347547%09red/osa:4334200%09red/osa:4330034%09red/osa:4330036%09red/osa:4326376%09red/osa:4349097%09red/osa:4328552%09red/osa:4339188%09red/osa:4328841%09red/osa:4336415%09red/osa:4337482%09red/osa:4338861%09red/osa:4346438%09red/osa:4334116%09red/osa:4341861%09red/osa:4332925%09red/osa:4338409%09red/osa:4344277%09red/osa:4340240%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	osa00280	13	40	6.28426147276e-08	1.28198934044e-06	4349966|4331779|4352741|4326980|4346520|4324637|4330612|4347172|4340725|4336645|4331150|4337676|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00280/osa:4352741%09red/osa:4330612%09red/osa:4347172%09red/osa:4349966%09red/osa:4346520%09red/osa:4331150%09red/osa:4331779%09red/osa:4324637%09red/osa:4336645%09red/osa:4336538%09red/osa:4337676%09red/osa:4340725%09red/osa:4326980%09red
Biosynthesis of amino acids	KEGG PATHWAY	osa01230	27	207	3.00217319596e-07	4.8131776367e-06	4324941|4333896|4347875|4343946|4328812|4333898|4325444|4332434|4330747|4327493|4332286|4347691|4334912|4340042|4347717|4347172|4331861|4331941|4349897|4330380|4325651|4337230|4327239|4324176|4350456|4336645|4328957	http://www.genome.jp/kegg-bin/show_pathway?osa01230/osa:4328812%09red/osa:4337230%09red/osa:4328957%09red/osa:4327239%09red/osa:4350456%09red/osa:4332286%09red/osa:4343946%09red/osa:4333898%09red/osa:4324176%09red/osa:4333896%09red/osa:4340042%09red/osa:4347172%09red/osa:4325444%09red/osa:4331941%09red/osa:4347875%09red/osa:4330747%09red/osa:4331861%09red/osa:4347717%09red/osa:4332434%09red/osa:4347691%09red/osa:4324941%09red/osa:4349897%09red/osa:4330380%09red/osa:4327493%09red/osa:4334912%09red/osa:4336645%09red/osa:4325651%09red
alpha-Linolenic acid metabolism	KEGG PATHWAY	osa00592	12	39	3.30316112323e-07	4.8131776367e-06	4328997|4345994|4339846|4337904|4350881|4326503|4340986|4331515|4352160|4331150|4350054|4345993	http://www.genome.jp/kegg-bin/show_pathway?osa00592/osa:4331515%09red/osa:4350881%09red/osa:4340986%09red/osa:4350054%09red/osa:4337904%09red/osa:4345993%09red/osa:4331150%09red/osa:4345994%09red/osa:4339846%09red/osa:4328997%09red/osa:4326503%09red/osa:4352160%09red
Fatty acid metabolism	KEGG PATHWAY	osa01212	14	68	2.27585877027e-06	2.88143472187e-05	4334764|4339846|4328997|4346520|4349764|4337904|4350881|4348791|4326503|4340986|4334104|4331150|4337714|4351483	http://www.genome.jp/kegg-bin/show_pathway?osa01212/osa:4340986%09red/osa:4348791%09red/osa:4337904%09red/osa:4349764%09red/osa:4339846%09red/osa:4346520%09red/osa:4331150%09red/osa:4334764%09red/osa:4351483%09red/osa:4328997%09red/osa:4337714%09red/osa:4326503%09red/osa:4350881%09red/osa:4334104%09red
Peroxisome	KEGG PATHWAY	osa04146	15	80	2.768314887e-06	2.88143472187e-05	4337714|4339846|4333171|4349764|4324176|4337048|4337904|4350881|4332347|4334764|4340986|4331746|4331150|4346360|4351483	http://www.genome.jp/kegg-bin/show_pathway?osa04146/osa:4337048%09red/osa:4331746%09red/osa:4346360%09red/osa:4337904%09red/osa:4349764%09red/osa:4331150%09red/osa:4339846%09red/osa:4333171%09red/osa:4334764%09red/osa:4351483%09red/osa:4337714%09red/osa:4324176%09red/osa:4340986%09red/osa:4350881%09red/osa:4332347%09red
beta-Alanine metabolism	KEGG PATHWAY	osa00410	10	32	2.82493600183e-06	2.88143472187e-05	4349966|4327558|4324637|4330612|4343249|4340725|4330657|4332184|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00410/osa:4330657%09red/osa:4330612%09red/osa:4347172%09red/osa:4349966%09red/osa:4324637%09red/osa:4327558%09red/osa:4332184%09red/osa:4336538%09red/osa:4340725%09red/osa:4343249%09red
