##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	16	848	1.47218462262e-05	0.000750814157534	4329959|4327479|4347610|4346988|4328073|4332134|4346993|4350456|4334968|9266189|4344564|4326136|4335094|4337818|4324066|4335984	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4327479%09red/osa:4337818%09red/osa:4326136%09red/osa:4344564%09red/osa:4334968%09red/osa:4346993%09red/osa:4332134%09red/osa:4347610%09red/osa:4335094%09red/osa:4329959%09red/osa:4335984%09red/osa:4346988%09red/osa:9266189%09red/osa:4350456%09red/osa:4324066%09red/osa:4328073%09red
Carbon metabolism	KEGG PATHWAY	osa01200	8	235	4.74440672163e-05	0.00120982371401	4327479|4328073|4334554|4324637|4350456|4334968|4326136|4344564	http://www.genome.jp/kegg-bin/show_pathway?osa01200/osa:4326136%09red/osa:4344564%09red/osa:4334554%09red/osa:4334968%09red/osa:4327479%09red/osa:4324637%09red/osa:4350456%09red/osa:4328073%09red
Metabolic pathways	KEGG PATHWAY	osa01100	21	1573	0.000104842865001	0.00178232870502	4329959|4328018|4327479|4344059|4346988|4334554|4324637|4346993|4326136|4328618|4350456|4324066|4334968|4332134|4344564|4328439|9266189|4337818|4346299|4341195|4335984	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4327479%09red/osa:4337818%09red/osa:4328439%09red/osa:4324637%09red/osa:4344564%09red/osa:4334554%09red/osa:4334968%09red/osa:4326136%09red/osa:4332134%09red/osa:4346993%09red/osa:4344059%09red/osa:4328018%09red/osa:4341195%09red/osa:4329959%09red/osa:4335984%09red/osa:4346299%09red/osa:4328618%09red/osa:9266189%09red/osa:4350456%09red/osa:4324066%09red/osa:4346988%09red
One carbon pool by folate	KEGG PATHWAY	osa00670	2	14	0.0031592785411	0.0402808013991	4350456|4334554	http://www.genome.jp/kegg-bin/show_pathway?osa00670/osa:4334554%09red/osa:4350456%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	osa00630	3	63	0.00516560834762	0.0488102960143	4326136|4328073|4350456	http://www.genome.jp/kegg-bin/show_pathway?osa00630/osa:4326136%09red/osa:4350456%09red/osa:4328073%09red
Propanoate metabolism	KEGG PATHWAY	osa00640	2	22	0.00706831960067	0.0488102960143	4326136|4324637	http://www.genome.jp/kegg-bin/show_pathway?osa00640/osa:4324637%09red/osa:4326136%09red
Glutathione metabolism	KEGG PATHWAY	osa00480	3	73	0.0076378430208	0.0488102960143	4332455|4325710|4341195	http://www.genome.jp/kegg-bin/show_pathway?osa00480/osa:4341195%09red/osa:4332455%09red/osa:4325710%09red
Tryptophan metabolism	KEGG PATHWAY	osa00380	2	23	0.00765651702185	0.0488102960143	4326136|4328073	http://www.genome.jp/kegg-bin/show_pathway?osa00380/osa:4326136%09red/osa:4328073%09red
Diterpenoid biosynthesis	KEGG PATHWAY	osa00904	2	27	0.010220072791	0.0579137458156	4335094|9266189	http://www.genome.jp/kegg-bin/show_pathway?osa00904/osa:9266189%09red/osa:4335094%09red
beta-Alanine metabolism	KEGG PATHWAY	osa00410	2	32	0.0138812186465	0.0707942150973	4324637|4341195	http://www.genome.jp/kegg-bin/show_pathway?osa00410/osa:4324637%09red/osa:4341195%09red
Cysteine and methionine metabolism	KEGG PATHWAY	osa00270	3	96	0.015611127734	0.0723788649484	4337818|4327479|4341195	http://www.genome.jp/kegg-bin/show_pathway?osa00270/osa:4327479%09red/osa:4337818%09red/osa:4341195%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	osa00280	2	40	0.0207281242113	0.0880945278982	4326136|4324637	http://www.genome.jp/kegg-bin/show_pathway?osa00280/osa:4324637%09red/osa:4326136%09red
Phosphatidylinositol signaling system	KEGG PATHWAY	osa04070	2	43	0.0235905025083	0.0925473559941	4328439|4333768	http://www.genome.jp/kegg-bin/show_pathway?osa04070/osa:4333768%09red/osa:4328439%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	osa00010	3	123	0.0292494231091	0.103515002689	4344564|4334968|4324066	http://www.genome.jp/kegg-bin/show_pathway?osa00010/osa:4344564%09red/osa:4334968%09red/osa:4324066%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	osa00940	3	125	0.0304455890263	0.103515002689	4329959|4346988|4346993	http://www.genome.jp/kegg-bin/show_pathway?osa00940/osa:4346993%09red/osa:4346988%09red/osa:4329959%09red
Galactose metabolism	KEGG PATHWAY	osa00052	2	53	0.0341995929278	0.109011202457	4344351|4328018	http://www.genome.jp/kegg-bin/show_pathway?osa00052/osa:4344351%09red/osa:4328018%09red
Synthesis and degradation of ketone bodies	KEGG PATHWAY	osa00072	1	7	0.0414188073981	0.124256422194	4326136	http://www.genome.jp/kegg-bin/show_pathway?osa00072/osa:4326136%09red
Brassinosteroid biosynthesis	KEGG PATHWAY	osa00905	1	9	0.0515042399985	0.145928679996	4332134	http://www.genome.jp/kegg-bin/show_pathway?osa00905/osa:4332134%09red
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	osa04933	1	11	0.0614841980262	0.165036531544	4340590	http://www.genome.jp/kegg-bin/show_pathway?osa04933/osa:4340590%09red
Stilbenoid, diarylheptanoid and gingerol biosynthesis	KEGG PATHWAY	osa00945	1	12	0.0664349671469	0.165957258531	4329959	http://www.genome.jp/kegg-bin/show_pathway?osa00945/osa:4329959%09red
Pyruvate metabolism	KEGG PATHWAY	osa00620	2	79	0.0683353417481	0.165957258531	4326136|4334968	http://www.genome.jp/kegg-bin/show_pathway?osa00620/osa:4326136%09red/osa:4334968%09red
Plant hormone signal transduction	KEGG PATHWAY	osa04075	3	184	0.0767155064412	0.177840492205	4327465|4330838|4348237	http://www.genome.jp/kegg-bin/show_pathway?osa04075/osa:4330838%09red/osa:4327465%09red/osa:4348237%09red
Flavonoid biosynthesis	KEGG PATHWAY	osa00941	1	18	0.0955991663615	0.211980760193	4329959	http://www.genome.jp/kegg-bin/show_pathway?osa00941/osa:4329959%09red
Biosynthesis of amino acids	KEGG PATHWAY	osa01230	3	207	0.0999749797756	0.212446832023	4344564|4350456|4327479	http://www.genome.jp/kegg-bin/show_pathway?osa01230/osa:4327479%09red/osa:4344564%09red/osa:4350456%09red
Butanoate metabolism	KEGG PATHWAY	osa00650	1	21	0.109839849835	0.224073293664	4326136	http://www.genome.jp/kegg-bin/show_pathway?osa00650/osa:4326136%09red
Circadian rhythm - plant	KEGG PATHWAY	osa04712	1	24	0.123857637392	0.242686903307	4328662	http://www.genome.jp/kegg-bin/show_pathway?osa04712/osa:4328662%09red
Lysine degradation	KEGG PATHWAY	osa00310	1	25	0.128481301751	0.242686903307	4326136	http://www.genome.jp/kegg-bin/show_pathway?osa00310/osa:4326136%09red
Carotenoid biosynthesis	KEGG PATHWAY	osa00906	1	27	0.137655996869	0.250730565726	4335984	http://www.genome.jp/kegg-bin/show_pathway?osa00906/osa:4335984%09red
Sulfur metabolism	KEGG PATHWAY	osa00920	1	35	0.17340466052	0.290329772681	4327479	http://www.genome.jp/kegg-bin/show_pathway?osa00920/osa:4327479%09red
Cyanoamino acid metabolism	KEGG PATHWAY	osa00460	1	36	0.177768385717	0.290329772681	4350456	http://www.genome.jp/kegg-bin/show_pathway?osa00460/osa:4350456%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	osa00053	1	37	0.182109213014	0.290329772681	4346299	http://www.genome.jp/kegg-bin/show_pathway?osa00053/osa:4346299%09red
Tyrosine metabolism	KEGG PATHWAY	osa00350	1	38	0.186427261837	0.290329772681	4328618	http://www.genome.jp/kegg-bin/show_pathway?osa00350/osa:4328618%09red
Arginine and proline metabolism	KEGG PATHWAY	osa00330	1	40	0.194995498661	0.290329772681	4341195	http://www.genome.jp/kegg-bin/show_pathway?osa00330/osa:4341195%09red
Pentose and glucuronate interconversions	KEGG PATHWAY	osa00040	1	41	0.199245922428	0.290329772681	4344059	http://www.genome.jp/kegg-bin/show_pathway?osa00040/osa:4344059%09red
Fatty acid degradation	KEGG PATHWAY	osa00071	1	41	0.199245922428	0.290329772681	4326136	http://www.genome.jp/kegg-bin/show_pathway?osa00071/osa:4326136%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	osa00900	1	47	0.224284070904	0.309148313948	4326136	http://www.genome.jp/kegg-bin/show_pathway?osa00900/osa:4326136%09red
Inositol phosphate metabolism	KEGG PATHWAY	osa00562	1	47	0.224284070904	0.309148313948	4328439	http://www.genome.jp/kegg-bin/show_pathway?osa00562/osa:4328439%09red
Citrate cycle (TCA cycle)	KEGG PATHWAY	osa00020	1	51	0.240542280344	0.322833060461	4334968	http://www.genome.jp/kegg-bin/show_pathway?osa00020/osa:4334968%09red
Glycine, serine and threonine metabolism	KEGG PATHWAY	osa00260	1	57	0.264296667519	0.340274193252	4350456	http://www.genome.jp/kegg-bin/show_pathway?osa00260/osa:4350456%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	osa04141	2	189	0.266881720198	0.340274193252	4343386|4325695	http://www.genome.jp/kegg-bin/show_pathway?osa04141/osa:4325695%09red/osa:4343386%09red
Proteasome	KEGG PATHWAY	osa03050	1	63	0.287312425431	0.357388626756	4343069	http://www.genome.jp/kegg-bin/show_pathway?osa03050/osa:4343069%09red
Fatty acid metabolism	KEGG PATHWAY	osa01212	1	68	0.305944486086	0.371504018819	4326136	http://www.genome.jp/kegg-bin/show_pathway?osa01212/osa:4326136%09red
Glycerophospholipid metabolism	KEGG PATHWAY	osa00564	1	71	0.316890484284	0.375652458345	4326817	http://www.genome.jp/kegg-bin/show_pathway?osa00564/osa:4326817%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	osa00710	1	73	0.324092317003	0.375652458345	4344564	http://www.genome.jp/kegg-bin/show_pathway?osa00710/osa:4344564%09red
Phagosome	KEGG PATHWAY	osa04145	1	77	0.338270353857	0.383373067705	4340590	http://www.genome.jp/kegg-bin/show_pathway?osa04145/osa:4340590%09red
Peroxisome	KEGG PATHWAY	osa04146	1	80	0.348709531871	0.386612741857	4328073	http://www.genome.jp/kegg-bin/show_pathway?osa04146/osa:4328073%09red
Plant-pathogen interaction	KEGG PATHWAY	osa04626	1	112	0.450369694333	0.488699030021	4348237	http://www.genome.jp/kegg-bin/show_pathway?osa04626/osa:4348237%09red
Purine metabolism	KEGG PATHWAY	osa00230	1	130	0.500450183507	0.531728319976	4343286	http://www.genome.jp/kegg-bin/show_pathway?osa00230/osa:4343286%09red
RNA transport	KEGG PATHWAY	osa03013	1	149	0.548398107413	0.570781703634	4341966	http://www.genome.jp/kegg-bin/show_pathway?osa03013/osa:4341966%09red
Starch and sucrose metabolism	KEGG PATHWAY	osa00500	1	159	0.571766911816	0.583202250052	4328018	http://www.genome.jp/kegg-bin/show_pathway?osa00500/osa:4328018%09red
Spliceosome	KEGG PATHWAY	osa03040	1	185	0.627051352215	0.627051352215	4328860	http://www.genome.jp/kegg-bin/show_pathway?osa03040/osa:4328860%09red

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------
