##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	37	848	1.22670843262e-11	8.46428818509e-10	4329959|4349433|4330077|4330437|4324554|4333898|4333862|4346988|4328073|4350614|4352505|4347225|4347224|4335094|4337818|4335091|4328841|4345787|4334183|4334968|4324066|4338010|4328006|4333458|4344277|4349966|4342614|4347962|4332981|4349430|4328485|4337415|4344931|4325537|4346993|4331338|9266189	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4334183%09red/osa:4342614%09red/osa:4324554%09red/osa:4335091%09red/osa:4335094%09red/osa:4325537%09red/osa:4337415%09red/osa:4324066%09red/osa:4344931%09red/osa:4328073%09red/osa:4349430%09red/osa:4349433%09red/osa:4352505%09red/osa:4349966%09red/osa:4330077%09red/osa:4333458%09red/osa:4346988%09red/osa:4328485%09red/osa:4330437%09red/osa:4334968%09red/osa:4333898%09red/osa:4344277%09red/osa:4347224%09red/osa:4347225%09red/osa:4328841%09red/osa:9266189%09red/osa:4347962%09red/osa:4332981%09red/osa:4337818%09red/osa:4328006%09red/osa:4331338%09red/osa:4345787%09red/osa:4346993%09red/osa:4333862%09red/osa:4338010%09red/osa:4350614%09red/osa:4329959%09red
Metabolic pathways	KEGG PATHWAY	osa01100	40	1573	3.48913728362e-06	0.000120375236285	4329959|4349433|4330077|4330437|4324554|4333898|4325740|4337347|4346988|4350614|4352505|4347225|4347224|4337818|4333967|4328841|4340008|4342614|4345787|4334183|4334968|4324066|4338010|4328006|4333458|4329853|4344277|4349966|4329561|4347962|4349430|4328485|4337415|4344931|4346993|4331338|4333862|9266189|4338546|4346299	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4334183%09red/osa:4338546%09red/osa:4324554%09red/osa:4329853%09red/osa:4329959%09red/osa:4346299%09red/osa:4337415%09red/osa:4324066%09red/osa:4344931%09red/osa:4349430%09red/osa:4349433%09red/osa:4352505%09red/osa:4333967%09red/osa:4349966%09red/osa:4342614%09red/osa:4330077%09red/osa:4329561%09red/osa:4333458%09red/osa:4346988%09red/osa:4328485%09red/osa:4330437%09red/osa:4334968%09red/osa:4333898%09red/osa:4344277%09red/osa:4347224%09red/osa:4347225%09red/osa:4337347%09red/osa:4328841%09red/osa:9266189%09red/osa:4347962%09red/osa:4325740%09red/osa:4337818%09red/osa:4328006%09red/osa:4331338%09red/osa:4345787%09red/osa:4346993%09red/osa:4333862%09red/osa:4340008%09red/osa:4338010%09red/osa:4350614%09red
Linoleic acid metabolism	KEGG PATHWAY	osa00591	4	15	5.56690029241e-05	0.00128038706725	4333862|4352505|4333823|4333821	http://www.genome.jp/kegg-bin/show_pathway?osa00591/osa:4352505%09red/osa:4333862%09red/osa:4333823%09red/osa:4333821%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	osa00940	8	125	0.000147544164758	0.00254513684208	4329959|4328841|4347962|4346988|4346993|4324554|4328485|4344277	http://www.genome.jp/kegg-bin/show_pathway?osa00940/osa:4344277%09red/osa:4347962%09red/osa:4346993%09red/osa:4328841%09red/osa:4329959%09red/osa:4346988%09red/osa:4324554%09red/osa:4328485%09red
Diterpenoid biosynthesis	KEGG PATHWAY	osa00904	4	27	0.000405798293537	0.00560001645082	4335094|4325537|9266189|4335091	http://www.genome.jp/kegg-bin/show_pathway?osa00904/osa:9266189%09red/osa:4335094%09red/osa:4325537%09red/osa:4335091%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	osa04141	8	189	0.00196523717934	0.0195108944525	4347405|4347402|4332413|4328075|4342077|4347226|4334598|9267802	http://www.genome.jp/kegg-bin/show_pathway?osa04141/osa:4347402%09red/osa:4342077%09red/osa:9267802%09red/osa:4347405%09red/osa:4347226%09red/osa:4334598%09red/osa:4328075%09red/osa:4332413%09red
Glutathione metabolism	KEGG PATHWAY	osa00480	5	73	0.00197936610387	0.0195108944525	4349202|4332456|4332474|4325715|4325707	http://www.genome.jp/kegg-bin/show_pathway?osa00480/osa:4349202%09red/osa:4332474%09red/osa:4325715%09red/osa:4325707%09red/osa:4332456%09red
Plant-pathogen interaction	KEGG PATHWAY	osa04626	6	112	0.00234971191862	0.0202662652981	4342077|4347402|4339701|4347405|4328006|9267802	http://www.genome.jp/kegg-bin/show_pathway?osa04626/osa:4347402%09red/osa:4342077%09red/osa:9267802%09red/osa:4347405%09red/osa:4339701%09red/osa:4328006%09red
Tryptophan metabolism	KEGG PATHWAY	osa00380	3	23	0.00312193458678	0.023934831832	4349966|4328073|4330076	http://www.genome.jp/kegg-bin/show_pathway?osa00380/osa:4330076%09red/osa:4349966%09red/osa:4328073%09red
Limonene and pinene degradation	KEGG PATHWAY	osa00903	2	9	0.00662644373908	0.0457224617997	4349966|4334183	http://www.genome.jp/kegg-bin/show_pathway?osa00903/osa:4334183%09red/osa:4349966%09red
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	osa00860	3	37	0.0105541386603	0.056898130932	4349430|4337415|4349433	http://www.genome.jp/kegg-bin/show_pathway?osa00860/osa:4349430%09red/osa:4349433%09red/osa:4337415%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	osa00053	3	37	0.0105541386603	0.056898130932	4349966|4332474|4346299	http://www.genome.jp/kegg-bin/show_pathway?osa00053/osa:4346299%09red/osa:4332474%09red/osa:4349966%09red
Stilbenoid, diarylheptanoid and gingerol biosynthesis	KEGG PATHWAY	osa00945	2	12	0.0107199377118	0.056898130932	4329959|4334183	http://www.genome.jp/kegg-bin/show_pathway?osa00945/osa:4334183%09red/osa:4329959%09red
Arginine and proline metabolism	KEGG PATHWAY	osa00330	3	40	0.0128584496006	0.0633737873172	4349966|4340008|4328006	http://www.genome.jp/kegg-bin/show_pathway?osa00330/osa:4328006%09red/osa:4349966%09red/osa:4340008%09red
Galactose metabolism	KEGG PATHWAY	osa00052	3	53	0.0259382026931	0.118607782584	4342703|4329561|4338010	http://www.genome.jp/kegg-bin/show_pathway?osa00052/osa:4342703%09red/osa:4329561%09red/osa:4338010%09red
Cysteine and methionine metabolism	KEGG PATHWAY	osa00270	4	96	0.0275032539325	0.118607782584	4337347|4347225|4347224|4337818	http://www.genome.jp/kegg-bin/show_pathway?osa00270/osa:4337818%09red/osa:4347224%09red/osa:4347225%09red/osa:4337347%09red
Steroid biosynthesis	KEGG PATHWAY	osa00100	2	26	0.0401268986	0.1628680002	4331338|4350614	http://www.genome.jp/kegg-bin/show_pathway?osa00100/osa:4331338%09red/osa:4350614%09red
