Gene stable ID	Transcript stable ID	Oryza sativa Japonica Group gene stable ID
TraesCS1A02G000100	TraesCS1A02G000100.1	
TraesCS1A02G000200	TraesCS1A02G000200.1	
TraesCS1A02G006800	TraesCS1A02G006800.1	
TraesCS1A02G015400	TraesCS1A02G015400.1	
TraesCS1A02G021200	TraesCS1A02G021200.1	Os02g0668000
TraesCS1A02G033200	TraesCS1A02G033200.1	Os01g0498300
TraesCS1A02G041400	TraesCS1A02G041400.1	
TraesCS1A02G042700	TraesCS1A02G042700.1	
TraesCS1A02G069600	TraesCS1A02G069600.1	Os05g0128200
TraesCS1A02G089500	TraesCS1A02G089500.1	Os05g0149400
TraesCS1A02G089500	TraesCS1A02G089500.1	Os05g0149300
TraesCS1A02G095800	TraesCS1A02G095800.3	Os12g0434400
TraesCS1A02G095800	TraesCS1A02G095800.4	Os12g0434400
TraesCS1A02G095800	TraesCS1A02G095800.2	Os12g0434400
TraesCS1A02G095800	TraesCS1A02G095800.1	Os12g0434400
TraesCS1A02G097700	TraesCS1A02G097700.1	Os05g0156300
TraesCS1A02G102800	TraesCS1A02G102800.1	
TraesCS1A02G103900	TraesCS1A02G103900.1	Os12g0632800
TraesCS1A02G104700	TraesCS1A02G104700.1	Os08g0493900
TraesCS1A02G110300	TraesCS1A02G110300.1	Os05g0163700
TraesCS1A02G112100	TraesCS1A02G112100.1	Os05g0168700
TraesCS1A02G112100	TraesCS1A02G112100.2	Os05g0168700
TraesCS1A02G115700	TraesCS1A02G115700.1	Os05g0171900
TraesCS1A02G115900	TraesCS1A02G115900.1	Os11g0704500
TraesCS1A02G115900	TraesCS1A02G115900.1	Os03g0288000
TraesCS1A02G122500	TraesCS1A02G122500.1	Os05g0186300
TraesCS1A02G134000	TraesCS1A02G134000.1	Os05g0223000
TraesCS1A02G138400	TraesCS1A02G138400.1	Os03g0103950
TraesCS1A02G138400	TraesCS1A02G138400.1	Os10g0422075
TraesCS1A02G138400	TraesCS1A02G138400.1	Os10g0422000
TraesCS1A02G143100	TraesCS1A02G143100.1	Os10g0456600
TraesCS1A02G145800	TraesCS1A02G145800.1	Os10g0463800
TraesCS1A02G151600	TraesCS1A02G151600.1	Os10g0472400
TraesCS1A02G152800	TraesCS1A02G152800.1	Os09g0537700
TraesCS1A02G153100	TraesCS1A02G153100.2	Os10g0474800
TraesCS1A02G153100	TraesCS1A02G153100.2	Os10g0475100
TraesCS1A02G153100	TraesCS1A02G153100.3	Os10g0474800
TraesCS1A02G153100	TraesCS1A02G153100.3	Os10g0475100
TraesCS1A02G153100	TraesCS1A02G153100.1	Os10g0474800
TraesCS1A02G153100	TraesCS1A02G153100.1	Os10g0475100
TraesCS1A02G156400	TraesCS1A02G156400.1	Os10g0479700
TraesCS1A02G158600	TraesCS1A02G158600.1	Os07g0204100
TraesCS1A02G158600	TraesCS1A02G158600.2	Os07g0204100
TraesCS1A02G158600	TraesCS1A02G158600.3	Os07g0204100
