Gene stable ID	NCBI gene ID	KEGG Pathway and Enzyme ID
Os01g0106200	4326147	
Os01g0106300	4326148	
Os01g0106400	4326149	
Os01g0106500	9270828	
Os01g0108400		
Os01g0113500		
Os01g0113800	4326102	
Os01g0114900		
Os01g0115200		00970+6.3.5.7
Os01g0115600	4326086	
Os01g0116900		
Os01g0117100		
Os01g0117300		
Os01g0117500		
Os01g0117700		
Os01g0120500	4326035	
Os01g0121300	4326042	
Os01g0130000	4325974	
Os01g0130000	4325974	
Os01g0137400		
Os01g0137950		
Os01g0138300	4325680	05170+2.7.11.1
Os01g0138300	4325680	05163+2.7.11.1
Os01g0138300	4325680	04150+2.7.11.1
Os01g0138300	4325680	04714+2.7.11.1
Os01g0138300	4325680	05165+2.7.11.1
Os01g0138300	4325680	04926+2.7.11.1
Os01g0138300	4325680	04151+2.7.11.1
Os01g0138300	4325680	05170+2.7.11.1
Os01g0138300	4325680	05163+2.7.11.1
Os01g0138300	4325680	04150+2.7.11.1
Os01g0138300	4325680	04714+2.7.11.1
Os01g0138300	4325680	05165+2.7.11.1
Os01g0138300	4325680	04926+2.7.11.1
Os01g0138300	4325680	04151+2.7.11.1
Os01g0138900		
Os01g0149900	4324515	
Os01g0151200	4324524	
Os01g0151200	4324524	
Os01g0151200	4324524	
Os01g0151500		00480+2.3.2.2+3.4.19.13
Os01g0151500		00430+2.3.2.2
Os01g0151500		00460+2.3.2.2
Os01g0172100	4327644	
Os01g0178600		
Os01g0179800	4325348	
Os01g0183850	107278601	
Os01g0184500	4325344	
Os01g0191100	4326782	
Os01g0201200	4327068	
Os01g0207300	4327097	00270+2.5.1.6
Os01g0212400	4325568	
Os01g0254200		
Os01g0262600	4325125	
Os01g0268100	4324386	
Os01g0281000	4326912	
Os01g0314600		
Os01g0323600	4326996	00270+2.5.1.6
Os01g0357100	4326014	00920+1.8.1.2
Os01g0357100	4326014	00920+1.8.1.2
Os01g0521600		
Os01g0601675	9268844	
Os01g0617650		
Os01g0621900		
Os01g0621900		
Os01g0621900		
Os01g0621900		
Os01g0631200		00860+4.99.1.4+1.3.1.76+2.1.1.107
Os01g0647000	4325927	
Os01g0647000	4325927	
Os01g0647100	4325928	
Os01g0652800	9271197	
Os01g0652800	9271197	
Os01g0654500	4324176	00720+1.1.1.42
Os01g0654500	4324176	00480+1.1.1.42
Os01g0654500	4324176	00020+1.1.1.42
Os01g0664000	4327866	
Os01g0669100	4326332	05170+2.7.11.1
Os01g0669100	4326332	05163+2.7.11.1
Os01g0669100	4326332	04150+2.7.11.1
Os01g0669100	4326332	04714+2.7.11.1
Os01g0669100	4326332	05165+2.7.11.1
Os01g0669100	4326332	04926+2.7.11.1
Os01g0669100	4326332	04151+2.7.11.1
Os01g0669100	4326332	05170+2.7.11.1
Os01g0669100	4326332	05163+2.7.11.1
Os01g0669100	4326332	04150+2.7.11.1
Os01g0669100	4326332	04714+2.7.11.1
Os01g0669100	4326332	05165+2.7.11.1
Os01g0669100	4326332	04926+2.7.11.1
Os01g0669100	4326332	04151+2.7.11.1
Os01g0670100	4326333	05170+2.7.11.1
Os01g0670100	4326333	05163+2.7.11.1
Os01g0670100	4326333	04150+2.7.11.1
Os01g0670100	4326333	04714+2.7.11.1
Os01g0670100	4326333	05165+2.7.11.1
Os01g0670100	4326333	04926+2.7.11.1
Os01g0670100	4326333	04151+2.7.11.1
Os01g0686000	4324107	
Os01g0692300		
Os01g0693800	4325651	
Os01g0697100	4325293	
Os01g0717000	4325586	
Os01g0717000	4325586	
Os01g0717000	4325586	
Os01g0717400	4325587	
Os01g0717700	4325589	
Os01g0720400	4324704	
Os01g0723100	4324670	
Os01g0733200	4324158	
Os01g0735300	4324167	
Os01g0739200	4327199	
Os01g0739400		
Os01g0739500	4327202	
Os01g0749400	4324621	00500+2.4.1.15
Os01g0759400	4325613	05170+2.7.11.1
Os01g0759400	4325613	05163+2.7.11.1
Os01g0759400	4325613	04150+2.7.11.1
Os01g0759400	4325613	04714+2.7.11.1
Os01g0759400	4325613	05165+2.7.11.1
Os01g0759400	4325613	04926+2.7.11.1
Os01g0759400	4325613	04151+2.7.11.1
Os01g0770000	4325602	00561+2.3.1.20
Os01g0770000	4325602	00073+2.3.1.20
Os01g0770100		00561+2.3.1.20
Os01g0770100		00073+2.3.1.20
Os01g0777200	9267579	
Os01g0795100		
Os01g0803200	4327535	
Os01g0803200	4327535	
Os01g0814800	4327479	00920+2.5.1.47
Os01g0814800	4327479	00270+2.5.1.47
Os01g0826900		
Os01g0829800	4327423	00630+1.1.1.37
Os01g0829800	4327423	00720+1.1.1.37
Os01g0829800	4327423	00710+1.1.1.37
Os01g0829800	4327423	00270+1.1.1.37
Os01g0829800	4327423	00020+1.1.1.37
Os01g0829800	4327423	00680+1.1.1.37
Os01g0829800	4327423	00620+1.1.1.37
Os01g0829800	4327423	00630+1.1.1.37
Os01g0829800	4327423	00720+1.1.1.37
Os01g0829800	4327423	00710+1.1.1.37
Os01g0829800	4327423	00270+1.1.1.37
Os01g0829800	4327423	00020+1.1.1.37
Os01g0829800	4327423	00680+1.1.1.37
Os01g0829800	4327423	00620+1.1.1.37
Os01g0830900	107277512	
Os01g0846450		
Os01g0846450		
Os01g0851700	4324810	00500+2.4.1.1
Os01g0855200	4324827	
Os01g0874900	4324773	00670+2.1.2.1
Os01g0874900	4324773	00630+2.1.2.1
Os01g0874900	4324773	00680+2.1.2.1
Os01g0874900	4324773	00460+2.1.2.1
Os01g0874900	4324773	00260+2.1.2.1
Os01g0905700	4325026	
Os01g0908200	4324985	
Os01g0915600	4324327	
Os01g0920100	4327740	
Os01g0923900	4327256	
Os01g0926300	4327239	00030+2.2.1.2
Os01g0926600	4327242	
Os01g0930400	4326945	
Os01g0934400		
Os01g0952500	4325747	
Os01g0975900	4324303	
Os01g0975900	4324303	
Os02g0101000	4327977	
Os02g0101000	4327977	
Os02g0110400	4328041	
Os02g0114400		
Os02g0115600	4328072	
Os02g0115600	4328072	
Os02g0121400		
Os02g0121500	4328122	
Os02g0121700	4328124	
Os02g0122200		
Os02g0134400	4328220	00760+1.4.3.16
Os02g0134400	4328220	00250+1.4.3.16
Os02g0148000	4328296	
Os02g0152500	4328327	
Os02g0153700		
Os02g0154000	4328340	
Os02g0164900	4328406	
