Gene stable ID	NCBI gene ID	KEGG Pathway and Enzyme ID
Os01g0106200	4326147	
Os01g0106500	9270828	
Os01g0108400		
Os01g0111700	4326146	
Os01g0111900	9271945	
Os01g0114400		
Os01g0115700		
Os01g0116000		
Os01g0116200	4326092	
Os01g0117200		
Os01g0119000	4326082	
Os01g0119000	4326082	
Os01g0120700	4326037	
Os01g0120800	4326038	
Os01g0120800	4326038	
Os01g0120800	4326038	
Os01g0120800	4326038	
Os01g0120800	4326038	
Os01g0120800	4326038	
Os01g0128200	4325994	
Os01g0172800	4327118	
Os01g0183300	4325335	
Os01g0184500	4325344	
Os01g0191100	4326782	
Os01g0200700		
Os01g0223200	4326704	
Os01g0231700	4325892	
Os01g0248300	4327212	
Os01g0248500	4327214	
Os01g0268100	4324386	
Os01g0317500		
Os01g0317800	4327269	
Os01g0318000		
Os01g0342750		
Os01g0367100	4325727	
Os01g0367100	4325727	
Os01g0367100	4325727	
Os01g0367100	4325727	
Os01g0498300	4324540	
Os01g0513800	4323989	
Os01g0515300	107275806	
Os01g0555800		
Os01g0583200	4324202	
Os01g0583200	4324202	
Os01g0617900	4326610	
Os01g0617900	4326610	
Os01g0617900	4326610	
Os01g0649100	4326249	00630+1.1.1.37
Os01g0649100	4326249	00720+1.1.1.37
Os01g0649100	4326249	00710+1.1.1.37
Os01g0649100	4326249	00270+1.1.1.37
Os01g0649100	4326249	00020+1.1.1.37
Os01g0649100	4326249	00680+1.1.1.37
Os01g0649100	4326249	00620+1.1.1.37
Os01g0649100	4326249	00630+1.1.1.37
Os01g0649100	4326249	00720+1.1.1.37
Os01g0649100	4326249	00710+1.1.1.37
Os01g0649100	4326249	00270+1.1.1.37
Os01g0649100	4326249	00020+1.1.1.37
Os01g0649100	4326249	00680+1.1.1.37
Os01g0649100	4326249	00620+1.1.1.37
Os01g0674800		
Os01g0678000	4325269	
Os01g0678400		
Os01g0706500	4327674	
Os01g0729500		
Os01g0733200	4324158	
Os01g0743400	4326551	00970+6.1.1.2
Os01g0743400	4326551	00970+6.1.1.2
Os01g0795100		
Os01g0798500	4327627	
Os01g0798500	4327627	
Os01g0848200	4324853	00332+2.7.2.11
Os01g0848200	4324853	00330+2.7.2.11
Os01g0848200	4324853	00332+1.2.1.41
Os01g0848200	4324853	00330+1.2.1.41
Os01g0848200	4324853	00330+2.7.2.11+1.2.1.41
Os01g0848200	4324853	00332+2.7.2.11+1.2.1.41
Os01g0848200	4324853	00332+2.7.2.11
Os01g0848200	4324853	00330+2.7.2.11
Os01g0848200	4324853	00332+1.2.1.41
Os01g0848200	4324853	00330+1.2.1.41
Os01g0848200	4324853	00330+2.7.2.11+1.2.1.41
Os01g0848200	4324853	00332+2.7.2.11+1.2.1.41
Os01g0918400		
Os01g0931100	4326815	
Os01g0931100	4326815	
Os01g0938100	4326537	
Os01g0938900	4326505	
Os01g0938900	4326505	
Os01g0960900		
Os01g0961600	4324546	
Os01g0961600	4324546	
Os01g0967900	4324011	
Os01g0967900	4324011	
Os02g0103700	4327999	
Os02g0103800	4328000	00195+1.18.1.2
Os02g0103800	4328000	00195+1.18.1.2
Os02g0103800	4328000	00195+1.18.1.2
Os02g0104700	4328006	
Os02g0104700	4328006	
Os02g0110400	4328041	
Os02g0114700	4328064	
Os02g0115900	4328075	
Os02g0115900	4328075	
Os02g0115900	4328075	
Os02g0117100	4328085	
Os02g0121300	4328121	
Os02g0121400		
Os02g0121700	4328124	
Os02g0129800	4328185	
Os02g0129900	4328186	
Os02g0134400	4328220	00760+1.4.3.16
Os02g0134400	4328220	00250+1.4.3.16
Os02g0169300	4328435	00710+2.7.2.3
Os02g0169300	4328435	00010+2.7.2.3
Os02g0179200	4328499	
Os02g0199300	4328636	
Os02g0209100		
Os02g0229400	4328798	
Os02g0229400	4328798	
Os02g0235600	4328826	
Os02g0237100	4328835	00480+2.5.1.16
Os02g0237100	4328835	00330+2.5.1.16
Os02g0237100	4328835	00410+2.5.1.16
Os02g0237100	4328835	00270+2.5.1.16
Os02g0240100	4328841	00940+1.11.1.7
Os02g0240300	4328842	00940+1.11.1.7
Os02g0281200	4329024	
Os02g0281200	4329024	
Os02g0282000	4329027	
Os02g0282500		
Os02g0319300		
Os02g0326000	4329186	
Os02g0326000	4329186	
Os02g0553000		
Os02g0564200	9271539	
Os02g0564200	9271539	
Os02g0592833	4329840	
Os02g0610700	4329952	
Os02g0610700	4329952	
Os02g0612900	4329967	
Os02g0614966		
Os02g0654500		
Os02g0662200	4330228	00970+6.1.1.15
Os02g0665000	4330239	
Os02g0665000	4330239	
Os02g0677800		
Os02g0689700	4330370	
Os02g0689700	4330370	
Os02g0700300	4330431	
Os02g0700400	4330432	
Os02g0709000	4330480	
Os02g0753300	4330755	
Os02g0774300	4330888	
Os02g0774300	4330888	
Os02g0794700		00480+3.4.11.1
Os02g0794700		00480+3.4.11.1
Os02g0798200	4331022	
Os02g0814700		
Os02g0815000	9267955	
Os02g0816100	4331136	
Os02g0816100	4331136	
Os02g0821800		
Os02g0821800		
Os02g0834700	4331275	
Os02g0834700	4331275	
Os03g0126300		
Os03g0126300		
Os03g0126300		
Os03g0126300		
Os03g0126800		05170+2.7.11.1
Os03g0126800		05163+2.7.11.1
Os03g0126800		04150+2.7.11.1
Os03g0126800		04714+2.7.11.1
Os03g0126800		05165+2.7.11.1
Os03g0126800		04926+2.7.11.1
Os03g0126800		04151+2.7.11.1
Os03g0130400	4331502	00730+2.7.4.3
Os03g0130400	4331502	00230+2.7.4.3
Os03g0130400	4331502	00730+2.7.4.3
Os03g0130400	4331502	00230+2.7.4.3
Os03g0133800		
Os03g0136200	4331540	
Os03g0140700	4331573	
Os03g0141000		
Os03g0152600	4331651	
Os03g0174800		
Os03g0177400	4331810	
Os03g0177400	4331812	
Os03g0177400	4331813	
Os03g0177400	4331811	
Os03g0177400	4331810	
Os03g0177400	4331812	
Os03g0177400	4331813	
Os03g0177400	4331811	
Os03g0177500	4331813	
Os03g0177500	4331812	
Os03g0177500	4331810	
Os03g0177500	4331811	
Os03g0177900	4331811	
Os03g0177900	4331813	
Os03g0177900	4331812	
Os03g0177900	4331810	
Os03g0177900	4331811	
Os03g0177900	4331813	
Os03g0177900	4331812	
Os03g0177900	4331810	
Os03g0178000	4331810	
Os03g0178000	4331812	
Os03g0178000	4331813	
Os03g0178000	4331811	
Os03g0178000	4331810	
Os03g0178000	4331812	
Os03g0178000	4331813	
Os03g0178000	4331811	
Os03g0186600	4331872	
Os03g0187000	4331875	
Os03g0190100	4331897	
Os03g0190300	4331899	
Os03g0197100	4331945	
Os03g0225900	4332121	
Os03g0225900	4332121	
Os03g0227400		00500+3.2.1.39
Os03g0253800	9272347	
Os03g0253800	9272347	
Os03g0253800	9272347	
Os03g0275300	4332407	
Os03g0279600	4332435	
Os03g0279600	4332435	
